ID,TYPE,DIVISION,LOCATION,IMAGE_LINK,VIDEO_LINK,LATITUDE,LONGITUDE,Location_1
221,Sit Up Bench,Phillip,Ediosn District Park,,,-35.341004,149.09205,"(-35.341004, 149.09205)"
265,Bench Dip,Belconnen,John Knight Memorial Park,,,-35.237264,149.073782,"(-35.237264, 149.073782)"
197,Sit Up Bench,Wright,Dunphy Street Pedestrian Parkland,,,-35.324714,149.038466,"(-35.324714, 149.038466)"
246,Hurdles,Yarralumla,Alexandrina Drive - Road Verge,,,-35.298986,149.114236,"(-35.298986, 149.114236)"
193,Stretching Equipment,Wright,Peter Cullen Way Neighbourhood Park,,,-35.323733,149.031441,"(-35.323733, 149.031441)"
47,Chinup Bar,Greenway,Tuggeranong Town Park,,,-35.411574,149.067434,"(-35.411574, 149.067434)"
134,Parallel Bars,Kaleen,Woronora Street Pedestrian Parkland,,,-35.221651,149.112538,"(-35.221651, 149.112538)"
245,Chinup Bar,Forde,Amy Ackman Street Pedestrian Parkland,,,-35.170142,149.142171,"(-35.170142, 149.142171)"
45,Horizontal Bar,Greenway,Tuggeranong Town Park,,,-35.411555,149.067435,"(-35.411555, 149.067435)"
184,Balance Beam,Wright,Lindsay Pryor Street Pedestrian Parkland,,,-35.326959,149.039967,"(-35.326959, 149.039967)"
254,Chinup Bar,Chifley,Shann Place Neighbourhood Park,,,-35.351399,149.077925,"(-35.351399, 149.077925)"
158,Stretching Equipment,Yarralumla,Mariner Place - Pedestrian Parkland,,,-35.300453,149.121029,"(-35.300453, 149.121029)"
27,Chinup Bar,Belconnen,John Knight Memorial Park,,,-35.236961,149.074335,"(-35.236961, 149.074335)"
262,Stretching Equipment,Belconnen,John Knight Memorial Park,,,-35.23716,149.073709,"(-35.23716, 149.073709)"
168,Parallel Bars,Yarralumla,Alexandrina Drive - Native Grassland Site,,,-35.298054,149.111102,"(-35.298054, 149.111102)"
280,Parallel Bars,Chifley,Shann Place Neighbourhood Park,,,-35.351354,149.0779,"(-35.351354, 149.0779)"
253,Chinup Bar,Cook,Templeton Crescent Neighbourhood Park,,,-35.258394,149.06219,"(-35.258394, 149.06219)"
38,Sit Up Bench,Wright,Swallowtail Road Road Verge,,,-35.325071,149.030727,"(-35.325071, 149.030727)"
3,Stretching Equipment,Weston,Dillon Close Neighbourhood Park,,,-35.33725,149.054304,"(-35.33725, 149.054304)"
162,Leg Raises & Pull Ups,Yarralumla,Alexandrina Drive - Pedestrian Parkland,,,-35.299931,149.115972,"(-35.299931, 149.115972)"
195,Step Ups,Wright,Peter Cullen Way Neighbourhood Park,,,-35.323717,149.032437,"(-35.323717, 149.032437)"
48,Chinup Bar,Greenway,Tuggeranong Town Park,,,-35.411582,149.067429,"(-35.411582, 149.067429)"
259,Step Ups,Rivett,Bangalay Crescent Neighbourhood Park,,,-35.347911,149.03784,"(-35.347911, 149.03784)"
25,Chinup Bar,Belconnen,John Knight Memorial Park,,,-35.236962,149.074349,"(-35.236962, 149.074349)"
138,Stretching Equipment,Kaleen,Woronora Street Pedestrian Parkland,,,-35.221283,149.111595,"(-35.221283, 149.111595)"
258,Parallel Bars,Holt,Beaurepaire Crescent Neighbourhood Park,,,-35.222043,149.013459,"(-35.222043, 149.013459)"
216,Step Ups,Phillip,Edison District Park,,,-35.341007,149.092089,"(-35.341007, 149.092089)"
190,Step Ups,Wright,Peter Cullen Way Neighbourhood Park,,,-35.323914,149.031889,"(-35.323914, 149.031889)"
44,Sit Up Bench,Wright,Cotter Road Road Verge,,,-35.326435,149.033627,"(-35.326435, 149.033627)"
55,Leg Press,Greenway,Tuggeranong Town Park,,,-35.411604,149.067451,"(-35.411604, 149.067451)"
242,Chinup Bar,Harrison,Combo Circuit Harrison Pedsetrian Park Land,,,-35.202556,149.15276,"(-35.202556, 149.15276)"
160,Star Jumps,Yarralumla,Mariner Place - Pedestrian Parkland,,,-35.300668,149.117922,"(-35.300668, 149.117922)"
191,Stretching Equipment,Wright,Peter Cullen Way Neighbourhood Park,,,-35.32391,149.03183,"(-35.32391, 149.03183)"
36,Ping Pong Table,Franklin,Kilmeny Close Community Park (Crip),,,-35.197479,149.144007,"(-35.197479, 149.144007)"
235,Stretching Equipment,Crace,Crace Crip Community Park,,,-35.200718,149.103043,"(-35.200718, 149.103043)"
6,Exercise Bike,Casey,John Crawford Crescent Neighbourhood Park,,,-35.171364,149.093854,"(-35.171364, 149.093854)"
269,Chinup Bar,Belconnen,John Knight Memorial Park,,,-35.237121,149.073929,"(-35.237121, 149.073929)"
51,Aerobic Walker,Greenway,Tuggeranong Town Park,,,-35.411546,149.067474,"(-35.411546, 149.067474)"
266,Sit Up Bench,Belconnen,John Knight Memorial Park,,,-35.237291,149.073796,"(-35.237291, 149.073796)"
277,Chinup Bar,Kambah,Summerland Circuit Neighbourhood Park,,,-35.385692,149.071178,"(-35.385692, 149.071178)"
217,Step Ups,Phillip,Edison District Park,,,-35.341016,149.09208,"(-35.341016, 149.09208)"
233,Balance Beam,Forde,Loma Rudduck Street Pedestrian Parkland,,,-35.171472,149.146057,"(-35.171472, 149.146057)"
279,Horizontal Bar,Kambah,Summerland Circuit Neighbourhood Park,,,-35.385719,149.071203,"(-35.385719, 149.071203)"
250,Jump To Touch,Cook,Templeton Crescent Neighbourhood Park,,,-35.258412,149.062102,"(-35.258412, 149.062102)"
220,Other,Phillip,Edison District Park,,,-35.340995,149.092057,"(-35.340995, 149.092057)"
273,Sit Up Bench,Belconnen,John Knight Memorial Park,,,-35.23719,149.073964,"(-35.23719, 149.073964)"
223,Step Ups,Coombs,Noffs Crescent Pedestrian Parkland,,,-35.322999,149.050726,"(-35.322999, 149.050726)"
229,Sit Up Bench,Phillip,Eddison District Park,,,-35.341924,149.090391,"(-35.341924, 149.090391)"
199,Chest Press,Wright,Dunphy Street Pedestrian Parkland,,,-35.32377,149.039466,"(-35.32377, 149.039466)"
194,Stretching Equipment,Wright,Peter Cullen Way Neighbourhood Park,,,-35.323742,149.03138,"(-35.323742, 149.03138)"
41,Stretching Equipment,Wright,Swallowtail Road Road Verge,,,-35.32511,149.030703,"(-35.32511, 149.030703)"
7,Chinup Bar,Phillip,Edison District Park,,,-35.341331,149.09114,"(-35.341331, 149.09114)"
192,Stretching Equipment,Wright,Peter Cullen Way Neighbourhood Park,,,-35.323918,149.031828,"(-35.323918, 149.031828)"
21,Shoulder Press,Belconnen,John Knight Memorial Park,,,-35.236921,149.074346,"(-35.236921, 149.074346)"
241,Parallel Bars,Harrison,Bungle Bungle Cres Pedestrian Park Land,,,-35.206582,149.151939,"(-35.206582, 149.151939)"
204,Push Ups,Campbell,Campbell Sect 5 Fitness Site A,,,-35.288681,149.144923,"(-35.288681, 149.144923)"
222,Step Ups,Coombs,Noffs Crescent Pedestrian Parkland,,,-35.322953,149.050719,"(-35.322953, 149.050719)"
186,Sit Up Bench,Wright,Lindsay Pryor Street Pedestrian Parkland,,,-35.32696,149.040064,"(-35.32696, 149.040064)"
8,Balance Beam,Forde,Loma Rudduck Street Pedestrian Parkland,,,-35.171475,149.146077,"(-35.171475, 149.146077)"
255,Push Ups,Chifley,Shann Place Neighbourhood Park,,,-35.351356,149.077969,"(-35.351356, 149.077969)"
189,Aerobic Walker,Wright,Peter Cullen Way Neighbourhood Park,,,-35.323684,149.033067,"(-35.323684, 149.033067)"
18,Push Ups,Theodore,Lawrence Wackett Crescent - Neighbourhood Park,,,-35.445547,149.1218,"(-35.445547, 149.1218)"
284,Horizontal Ladder,Forde,Forde Linear Park,,,-35.169103,149.142332,"(-35.169103, 149.142332)"
225,Step Ups,Coombs,Terry Connolly Street Pedestrian Parkland,,,-35.32111,149.045285,"(-35.32111, 149.045285)"
260,Sit Up Bench,Rivett,Bangalay Crescent Neighbourhood Park,,,-35.347981,149.037607,"(-35.347981, 149.037607)"
270,Sit Up Bench,Belconnen,John Knight Memorial Park,,,-35.237144,149.073958,"(-35.237144, 149.073958)"
17,Horizontal Ladder,Theodore,Lawrence Wackett Crescent - Neighbourhood Park,,,-35.44553,149.121796,"(-35.44553, 149.121796)"
161,Parallel Bars,Yarralumla,Alexandrina Drive - Pedestrian Parkland,,,-35.300346,149.116812,"(-35.300346, 149.116812)"
113,Bench Dip,Acton,Lake Burley Griffin Foreshore,,,-35.2871,149.115482,"(-35.2871, 149.115482)"
54,Sit Up Bench,Greenway,Tuggeranong Town Park,,,-35.411594,149.067483,"(-35.411594, 149.067483)"
211,Leg Raises & Pull Ups,Gungahlin,Yerrabi District Park,,,-35.178049,149.130635,"(-35.178049, 149.130635)"
43,Stretching Equipment,Wright,Cotter Road Road Verge,,,-35.326446,149.033629,"(-35.326446, 149.033629)"
108,Chinup Bar,Ainslie,Ainslie Football Park,,,-35.262985,149.138734,"(-35.262985, 149.138734)"
247,Chinup Bar,Kambah,Boddington Crescent Neighbourhood Park,,,-35.38348,149.052062,"(-35.38348, 149.052062)"
248,Stretching Equipment,Kambah,Kamb-1765,,,-35.383497,149.051897,"(-35.383497, 149.051897)"
5,Stretching Equipment,Casey,John Crawford Crescent Neighbourhood Park,,,-35.171404,149.094132,"(-35.171404, 149.094132)"
22,Aerobic Walker,Belconnen,John Knight Memorial Park,,,-35.236927,149.074377,"(-35.236927, 149.074377)"
231,Jump To Touch,Forde,Leslie Dwyer Street Pedestrian Parkland,,,-35.173937,149.142986,"(-35.173937, 149.142986)"
208,Step Ups,Gungahlin,Yerrabi District Park,,,-35.178035,149.130659,"(-35.178035, 149.130659)"
14,Aerobic Walker,Theodore,Lawrence Wackett Crescent - Neighbourhood Park,,,-35.445504,149.121843,"(-35.445504, 149.121843)"
137,Chinup Bar,Kaleen,Woronora Street Pedestrian Parkland,,,-35.22111,149.113211,"(-35.22111, 149.113211)"
111,Step Ups,Ainslie,Ainslie Football Park,,,-35.263536,149.138549,"(-35.263536, 149.138549)"
183,Chinup Bar,Greenway,Tuggeranong Town Park,,,-35.412334,149.068039,"(-35.412334, 149.068039)"
19,Leg Raises & Pull Ups,Theodore,Lawrence Wackett Crescent Neighbourhood Park,,,-35.445554,149.121793,"(-35.445554, 149.121793)"
29,Horizontal Ladder,Belconnen,John Knight Memorial Park,,,-35.236951,149.074314,"(-35.236951, 149.074314)"
218,Leg Raises & Pull Ups,Phillip,Edison District Park,,,-35.34097,149.092037,"(-35.34097, 149.092037)"
205,Sit Up Bench,Campbell,Campbell Fitness Site A,,,-35.288708,149.144915,"(-35.288708, 149.144915)"
1,Sit Up Bench,Weston,Dillon Close Neighbourhood Park,,,-35.337115,149.054415,"(-35.337115, 149.054415)"
107,Parallel Bars,Ainslie,Ainslie Football Park,,,-35.262681,149.138779,"(-35.262681, 149.138779)"
232,Horizontal Ladder,Forde,Horse Park Drive Pedestrian Parkland,,,-35.175346,149.14212,"(-35.175346, 149.14212)"
282,Jump To Touch,Chifley,Shann Place Neighbourhood Park,,,-35.3512,149.077829,"(-35.3512, 149.077829)"
252,Sit Up Bench,Cook,Templeton Crescent Neighbourhood Park,,,-35.258367,149.062138,"(-35.258367, 149.062138)"
213,Bench Dip,Gungahlin,Yerrabi District Park,,,-35.178073,149.13064,"(-35.178073, 149.13064)"
224,Step Ups,Coombs,Terry  Connolly Street Pedestrian Parkland,,,-35.321073,149.045264,"(-35.321073, 149.045264)"
263,Sit Up Bench,Belconnen,John Knight Memorial Park,,,-35.237171,149.073751,"(-35.237171, 149.073751)"
209,Step Ups,Gungahlin,Yerrabi District Park,,,-35.178047,149.13066,"(-35.178047, 149.13066)"
147,Stretching Equipment,Deakin,Denison Street - Pedestrian Parkland,,,-35.315335,149.095528,"(-35.315335, 149.095528)"
251,Parallel Bars,Cook,Templeton Crescent Neighbourhood Park,,,-35.258439,149.062162,"(-35.258439, 149.062162)"
10,Chinup Bar,Casey,John Crawford Crescent Neighbourhood Park,,,-35.171289,149.09388,"(-35.171289, 149.09388)"
281,Stretching Equipment,Chifley,Shann Place Neighbourhood Park,,,-35.351245,149.077806,"(-35.351245, 149.077806)"
256,Chinup Bar,Holt,Beaurepaire Crescent Neighbourhood Park,,,-35.222584,149.013194,"(-35.222584, 149.013194)"
42,Step Ups,Wright,Swallowtail Road Road Verge,,,-35.325142,149.030706,"(-35.325142, 149.030706)"
165,Sit Up Bench,Yarralumla,Alexandrina Drive - Pedestrian Parkland,,,-35.299756,149.112865,"(-35.299756, 149.112865)"
271,Step Ups,Belconnen,John Knight Memorial Park,,,-35.237156,149.073905,"(-35.237156, 149.073905)"
240,Push Ups,Crace,Crace Crip Community Park,,,-35.200698,149.1031,"(-35.200698, 149.1031)"
170,Chinup Bar,Yarralumla,Alexandrina Drive - Pedestrian Parkland,,,-35.296682,149.108409,"(-35.296682, 149.108409)"
13,Leg Press,Theodore,Lawrence Wackett Crescent - Neighbourhood Park,,,-35.445487,149.121815,"(-35.445487, 149.121815)"
196,Aerobic Walker,Wright,Dunphy Street Pedestrian Parkland,,,-35.324675,149.038462,"(-35.324675, 149.038462)"
261,Stretching Equipment,Rivett,Bangalay Crescent Neighbourhood Park,,,-35.347917,149.037421,"(-35.347917, 149.037421)"
272,Horizontal Bar,Belconnen,John Knight Memorial Park,,,-35.237166,149.07397,"(-35.237166, 149.07397)"
2,Chinup Bar,Weston,Dillon Close Neighbourhood Park,,,-35.337191,149.054371,"(-35.337191, 149.054371)"
283,Balance Beam,Chifley,Shann Place Neighbourhood Park,,,-35.351202,149.077787,"(-35.351202, 149.077787)"
215,Step Ups,Phillip,Edison District Park,,,-35.340997,149.092099,"(-35.340997, 149.092099)"
12,Sit Up Bench,Casey,John Crawford Crescent Neighbourhood Park,,,-35.171255,149.094089,"(-35.171255, 149.094089)"
249,Other,Kambah,Kamb-1765,,,-35.383368,149.051776,"(-35.383368, 149.051776)"
278,Sit Up Bench,Kambah,Summerland Circuit Neighbourhood Park,,,-35.385725,149.071155,"(-35.385725, 149.071155)"
20,Leg Press,Belconnen,John Knight Memorial Park,,,-35.236917,149.074312,"(-35.236917, 149.074312)"
257,Push Ups,Holt,Beaurepaire Crescent Neighbourhood Park,,,-35.222343,149.013437,"(-35.222343, 149.013437)"
26,Chinup Bar,Belconnen,John Knight Memorial Park,,,-35.236967,149.074342,"(-35.236967, 149.074342)"
163,Push Ups,Yarralumla,Lake Burley Griffin Foreshore,,,-35.299319,149.113523,"(-35.299319, 149.113523)"
202,Sit Up Bench,Harrison,Eric Mawson Street Neighbourhood Park,,,-35.203974,149.152324,"(-35.203974, 149.152324)"
157,Stretching Equipment,Yarralumla,Lennox Gardens,,,-35.298642,149.122504,"(-35.298642, 149.122504)"
16,Roman Rings,Theodore,Lawrence Wackett Crescent - Neighbourhood Park,,,-35.445514,149.121793,"(-35.445514, 149.121793)"
166,Other,Yarralumla,Alexandrina Drive - Pedestrian Parkland,,,-35.299631,149.111371,"(-35.299631, 149.111371)"
203,Chinup Bar,Campbell,Campbell Sec 5 Fitness Site A,,,-35.28867,149.144853,"(-35.28867, 149.144853)"
28,Pull Ups,Belconnen,John Knight Memorial Park,,,-35.236966,149.074327,"(-35.236966, 149.074327)"
56,Push Ups,Wright,Cotter Road Road Verge,,,-35.326434,149.03357,"(-35.326434, 149.03357)"
244,Sit Up Bench,Forde,Ray Ellis Crescent District Park,,,-35.1726,149.141668,"(-35.1726, 149.141668)"
15,Parallel Bars,Theodore,Lawrence Wackett Crescent - Neighbourhood Park,,,-35.445512,149.121808,"(-35.445512, 149.121808)"
37,Ping Pong Table,Franklin,Kilmeny Close Community Park (Crip),,,-35.197454,149.143989,"(-35.197454, 149.143989)"
24,Roman Rings,Belconnen,John Knight Memorial Park,,,-35.236955,149.074343,"(-35.236955, 149.074343)"
167,Sit Up Bench,Yarralumla,Alexandrina Drive - Native Grassland Site,,,-35.298517,149.111757,"(-35.298517, 149.111757)"
206,Sit Up Bench,Campbell,Campbell Sect 5 Fitness Site A,,,-35.288712,149.144857,"(-35.288712, 149.144857)"
275,Stretching Equipment,Belconnen,John Knight Memorial Park,,,-35.237141,149.073732,"(-35.237141, 149.073732)"
185,Step Ups,Wright,Lindsay Pryor Street Pedestrian Parkland,,,-35.326955,149.039977,"(-35.326955, 149.039977)"
187,Ping Pong Table,Bonner,Bilin Bilins Treet Neighbourhood Park,,,-35.152422,149.147076,"(-35.152422, 149.147076)"
110,Vault,Ainslie,Ainslie Football Park,,,-35.263033,149.138728,"(-35.263033, 149.138728)"
154,Balance Beam,Yarralumla,Lennox Gardens,,,-35.299359,149.121774,"(-35.299359, 149.121774)"
234,Multi Station,Crace,Crace Crip Community Park,,,-35.200707,149.103014,"(-35.200707, 149.103014)"
32,Multi Station,Franklin,Kilmeny Close Community Park (Crip),,,-35.19748,149.144115,"(-35.19748, 149.144115)"
239,Multi Station,Crace,Crace Crip Community Park,,,-35.200686,149.103068,"(-35.200686, 149.103068)"
238,Multi Station,Crace,Crace Crip Community Park,,,-35.200675,149.103033,"(-35.200675, 149.103033)"
33,Multi Station,Franklin,Kilmeny Close Community Park (Crip),,,-35.197447,149.144146,"(-35.197447, 149.144146)"
237,Multi Station,Crace,Crace Crip Community Park,,,-35.200731,149.103096,"(-35.200731, 149.103096)"
236,Multi Station,Crace,Crace Crip Community Park,,,-35.200725,149.10307,"(-35.200725, 149.10307)"
34,Multi Station,Franklin,Kilmeny Close Community Park (Crip),,,-35.197516,149.144137,"(-35.197516, 149.144137)"
30,Multi Station,Franklin,Kilmeny Close Community Park (Crip),,,-35.197515,149.144204,"(-35.197515, 149.144204)"
31,Multi Station,Franklin,Kilmeny Close Community Park (Crip),,,-35.197456,149.144203,"(-35.197456, 149.144203)"
212,Multi Station,Gungahlin,Yerrabi District Park,,,-35.17807,149.130662,"(-35.17807, 149.130662)"
150,Vault,Deakin,Denison Street Pedestrian Parkland,,,-35.315346,149.095551,"(-35.315346, 149.095551)"
207,Multi Station,Gungahlin,Yerrabi District Park,,,-35.178025,149.130655,"(-35.178025, 149.130655)"
302,Stretching Equipment,Ainslie,Angas Street Road Verge,,,-35.263595,149.1385,"(-35.263595, 149.1385)"
305,Sit Up Bench,Belconnen,John Knight Memorial Park,,,-35.237129,149.073924,"(-35.237129, 149.073924)"
141,Log Hop,Deakin,Denison Street - Pedestrian Parkland,,,-35.315289,149.095565,"(-35.315289, 149.095565)"
145,Body Lift,Deakin,Denison Street - Pedestrian Parkland,,,-35.315317,149.095539,"(-35.315317, 149.095539)"
142,Multi Station,Deakin,Denison Street - Pedestrian Parkland,,,-35.315295,149.095574,"(-35.315295, 149.095574)"
109,Balance Beam,Ainslie,Ainslie Football Park,,,-35.263009,149.138715,"(-35.263009, 149.138715)"
144,Vault,Deakin,Denison Street - Pedestrian Parkland,,,-35.31532,149.095478,"(-35.31532, 149.095478)"
106,Horizontal Ladder,Ainslie,Ainslie Football Park,,,-35.262629,149.138784,"(-35.262629, 149.138784)"
146,Stretching Equipment,Deakin,Denison Street - Pedestrian Parkland,,,-35.315344,149.095493,"(-35.315344, 149.095493)"
306,Multi Station,Deakin,Denison Street Pedestrian Parkland,,,-35.31528,149.095495,"(-35.31528, 149.095495)"
301,Push Ups,Forde,Pahlman Street Neighbourhood Park,,,-35.168696,149.146034,"(-35.168696, 149.146034)"
304,Other,Yarralumla,Alexandrina Drive Pedestrian Parkland,,,-35.297366,149.108902,"(-35.297366, 149.108902)"
149,Multi Station,Deakin,Denison Street - Pedestrian Parkland,,,-35.315366,149.095572,"(-35.315366, 149.095572)"
148,Stretching Equipment,Deakin,Denison Street - Pedestrian Parkland,,,-35.315361,149.095568,"(-35.315361, 149.095568)"
303,Log Hop,Forde,Ray Ellis Crescent Pedestrian Parkland,,,-35.173962,149.141339,"(-35.173962, 149.141339)"
143,Stretching Equipment,Deakin,Denison Street - Pedestrian Parkland,,,-35.315313,149.095501,"(-35.315313, 149.095501)"
151,Multi Station,Deakin,Denison Street - Pedestrian Parkland,,,-35.31536,149.095556,"(-35.31536, 149.095556)"
140,Multi Station,Deakin,Denison Street - Pedestrian Parkland,,,-35.315295,149.095615,"(-35.315295, 149.095615)"
